Order,8- or 10-Digit HS Code,brief_description,Sector,Subsector,Stage,mfn_text,Unit of Quantity
1,25041010,"Natural graphite, crystalline flake (not including flake dust)",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
2,25041050,Natural graphite in powder or flakes (other than crystalline flake),Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
3,25049000,"Natural graphite, other than in powder or in flakes",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
4,25111010,"Natural barium sulfate (barytes), ground",Critical Minerals and Materials,Critical Minerals,Primary,Free,T
5,25111050,"Natural barium sulfate (barytes), not ground",Critical Minerals and Materials,Critical Minerals,Primary,$1.25/t,T
6,25191000,Natural magnesium carbonate (magnesite),Critical Minerals and Materials,Critical Minerals,Primary,Free,T
7,25199010,"Fused magnesia; dead-burned (sintered) magnesia, whether or not cont. small quant. of other oxides added before sintering",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
8,25199020,Caustic calcined magnesite,Critical Minerals and Materials,Critical Minerals,Primary,Free,T
9,25199050,"Magnesium oxide, nesoi, whether or not pure",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
10,25292100,"Fluorspar, containing by weight 97 percent or less of calcium fluoride",Critical Minerals and Materials,Critical Minerals,Primary,Free,T
11,25292200,"Fluorspar, containing by weight more than 97 percent of calcium fluoride",Critical Minerals and Materials,Critical Minerals,Primary,Free,T
12,25302010,Kieserite,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
13,25302020,Epsom salts (natural magnesium sulfates),Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
14,25309010,Natural cryolite; natural chiolite,Critical Minerals and Materials,Critical Minerals,Primary,Free,T
15,26020000,Manganese ores and concentrates including ferruginous manganese ores & concentrates with manganese content over 20% calculated on dry weight,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
16,26040000,Nickel ores and concentrates,Critical Minerals and Materials,Critical Minerals,Primary,Free,CKG
17,26050000,Cobalt ores and concentrates,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
18,26060000,Aluminum ores and concentrates,Critical Minerals and Materials,Critical Minerals,Primary,Free,T
19,26080000,Zinc ores and concentrates,Critical Minerals and Materials,Critical Minerals,Primary,Free,NA
20,26090000,Tin ores and concentrates,Critical Minerals and Materials,Critical Minerals,Primary,Free,T
21,26100000,Chromium ores and concentrates,Critical Minerals and Materials,Critical Minerals,Primary,Free,T
22,26110030,Tungsten ores,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
23,26110060,Tungsten concentrates,Critical Minerals and Materials,Critical Minerals,Primary,37.5 cents/kg on tungsten content,KG
24,26140030,Synthetic rutile,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
25,26140060,"Titanium ores and concentrates, other than synthetic rutile",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
26,26151000,Zirconium ores and concentrates,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
27,26159030,Synthetic tantalum-niobium concentrates,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
28,26159060,"Niobium, tantalum or vanadium ores and concentrates, nesoi",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
29,26169000,Precious metal (other than silver) ores and concentrates,Critical Minerals and Materials,Critical Minerals,Primary,1.7 cents/kg on lead content,NA
30,26171000,Antimony ores and concentrates,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
31,26179000,"Metal ores and concentrates, nesoi",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
32,26201100,Hard zinc spelter,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
33,26201930,Zinc dross and skimmings (not from from the mfr. of iron or steel),Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
